id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
1001,FXTK,small_airport,Tlokoeng Airport,-29.2330,28.8830,0,Africa,LS,LS-J,Tlokoeng,FXTK,TKO,
1002,FXTA,small_airport,Thaba-Tseka Airport,-29.5228,28.6158,500,Africa,LS,LS-K,Thaba-Tseka,FXTA,THB,
1003,FXTB,small_airport,Tebellong Airport,-30.0514,28.4597,600,Africa,LS,LS-H,Tebellong,FXTB,,
1004,FXST,small_airport,St. Theresa Airport,-29.6170,28.7830,800,Africa,LS,LS-K,St. Theresa,FXST,,
1005,FXSS,small_airport,Seshutes Airport,-29.2676,28.5523,0,Africa,LS,LS-C,Seshutes,FXSS,SHZ,
1006,FXSM,small_airport,Semonkong Airport,-29.8386,28.0600,200,Africa,LS,LS-A,Semonkong,FXSM,SOK,
1007,FXSK,small_airport,Sekakes Airport,-30.0389,28.3703,700,Africa,LS,LS-H,Sekakes,FXSK,SKQ,
1008,FXSH,small_airport,Sehonghong Airport,-29.7311,28.7679,500,Africa,LS,LS-K,Sehonghong,FXSH,SHK,
1009,FXSE,small_airport,Sehlabathebe Airport,-29.9158,29.0388,300,Africa,LS,LS-H,Sehlabathebe,FXSE,,
1010,FXQG,small_airport,Quthing Airport,-30.4075,27.6933,350,Africa,LS,LS-G,Quthing,FXQG,UTG,
1011,FXQN,small_airport,Qacha's Nek Airport,-30.1117,28.6719,100,Africa,LS,LS-H,Qacha's Nek,FXQN,UNE,
1012,FXPG,small_airport,Pelaneng Airport,-29.0881,28.4972,200,Africa,LS,LS-C,Pelaneng,FXPG,PEL,
1013,FXNH,small_airport,Nohanas Airport,-30.0670,27.8670,400,Africa,LS,LS-F,Nohanas,FXNH,,
1014,FXNK,small_airport,Nkaus Airport,-30.0217,28.1969,621,Africa,LS,LS-F,Nkaus,FXNK,NKU,
1015,FXMM,medium_airport,Moshoeshoe I International Airport,-29.4623,27.5525,348,Africa,LS,LS-A,Mazenod,FXMM,MSU,
1016,FXMK,small_airport,Mokhotlong Airport,-29.2818,29.0728,200,Africa,LS,LS-J,Mokhotlong,FXMK,MKH,
1017,FXMP,small_airport,Mohlanapeng Airport,-29.5864,28.6656,294,Africa,LS,LS-K,Mohlanapeng,FXMP,,
1018,FXMH,small_airport,Mohale's Hoek Airport,-30.1445,27.4708,146,Africa,LS,LS-F,Mohale's Hoek,FXMH,,
1019,FXMU,small_airport,Mejametalana Air Base,-29.3028,27.5029,105,Africa,LS,LS-A,Foso,FXMU,,
1020,FXMA,small_airport,Matsaile Airport,-29.8406,28.7767,200,Africa,LS,LS-K,Matsaile,FXMA,MSG,
1021,FXMV,small_airport,Matabeng Village Airport,-29.8147,28.8082,150,Africa,LS,LS-K,Matabeng Village,FXMV,,
1022,FXMT,small_airport,Matabeng Store Airport,-29.7830,28.7670,300,Africa,LS,LS-K,Matabeng Store,FXMT,,
1023,FXMS,small_airport,Mashai Store Airport,-29.6780,28.8051,300,Africa,LS,LS-K,Mashai Store,FXMS,,
1024,FXMN,small_airport,Mantsonyane Airport,-29.5451,28.2706,100,Africa,LS,LS-K,Mantsonyane,FXMN,,
1025,FXML,small_airport,Malefiloane Airstrip,-29.3334,29.1919,267,Africa,LS,LS-J,Malefiloane,FXML,,
1026,FXMF,small_airport,Mafeteng Airport,-29.8011,27.2436,350,Africa,LS,LS-D,Mafeteng,FXMF,MFC,
1027,FXLT,small_airport,Letseng Airport,-29.0093,28.8547,400,Africa,LS,LS-J,Letseng,FXLT,,
1028,FXLS,small_airport,Lesobeng Airport,-29.7556,28.3571,130,Africa,LS,LS-F,Lesobeng,FXLS,LES,
1029,FXLR,small_airport,Leribe Airport,-28.8556,28.0528,350,Africa,LS,LS-C,Leribe,FXLR,LRB,
1030,FXLK,small_airport,Lebakeng Airport,-29.8908,28.6556,0,Africa,LS,LS-H,Lebakeng,FXLK,LEF,
1031,FXKY,small_airport,Kuebunyane Airstrip,-29.8845,28.3614,495,Africa,LS,LS-F,Mohale's Hoek District,FXKY,,
1032,FXKB,small_airport,Kolberg Airport,-29.3803,28.4907,0,Africa,LS,LS-K,Kolberg,FXKB,,
1033,FXKA,small_airport,Katse Airport,-29.3637,28.5273,0,Africa,LS,LS-K,Katse,FXKA,,
1034,FXBB,small_airport,Bobete Airport,-29.4250,28.6670,100,Africa,LS,LS-K,Bobete,FXBB,,
1035,GFYE,medium_airport,Yengema Airport,8.6105,-11.0454,300,Africa,SL,SL-E,Yengema,GFYE,WYE,
1036,SL-0003,heliport,UN Aviation Heliport,8.4877,-13.2881,0,Africa,SL,SL-W,Western Area,SL-0003,,
1037,GFTO,small_airport,Tongo Airport,8.2170,-11.0670,750,Africa,SL,SL-E,Tongo,GFTO,,
1038,SL-0004,closed,Sherbro International Airport [CLOSED],7.5324,-12.5189,14,Africa,SL,SL-S,Bonthe,SL-0004,,
1039,SL-0002,heliport,RSLAF Cockerill Barracks Heliport,8.4740,-13.2776,0,Africa,SL,SL-W,Freetown,SL-0002,,
1040,SL-0001,heliport,Mammy Yoko Heliport,8.4923,-13.2885,0,Africa,SL,SL-W,Western Area,SL-0001,,
1041,GFLL,large_airport,Lungi International Airport,8.6164,-13.1955,84,Africa,SL,SL-N,Freetown,GFLL,FNA,
1042,GFKE,medium_airport,Kenema Airport,7.8964,-11.1741,485,Africa,SL,SL-E,Kenema,GFKE,KEN,
1043,GFKB,small_airport,Kabala Airport,9.6383,-11.5156,12,Africa,SL,SL-N,Kabala,GFKB,KBA,
1044,GFHA,small_airport,Hastings Airport,8.3943,-13.1289,60,Africa,SL,SL-W,Freetown,GFHA,HGS,
1045,GFGK,small_airport,Gbangbatok Airport,7.8125,-12.3778,75,Africa,SL,SL-S,Gbangbatok,GFGK,GBK,
1046,GFBO,medium_airport,Bo Airport,7.9444,-11.7610,328,Africa,SL,SL-S,Bo,GFBO,KBS,
1047,FDUB,small_airport,Ubombo Ranches Airport,-26.7708,31.9364,0,Africa,SZ,SZ-LU,Big Bend,FDUB,,
1048,FDTS,small_airport,Tshaneni Airport,-25.9833,31.2000,20,Africa,SZ,SZ-HH,Tshaneni,FDTS,,
1049,FDBT,small_airport,Tambuti Airport,-26.7352,31.7759,595,Africa,SZ,SZ-LU,Big Bend,FDBT,,
1050,FDTM,small_airport,Tambankulu Airport,-26.1064,31.9195,811,Africa,SZ,SZ-LU,Tambankulu,FDTM,,
1051,FDST,small_airport,Siteki Airport,-26.4720,31.9426,220,Africa,SZ,SZ-LU,Siteki,FDST,,
1052,FDSM,small_airport,Simunye Airport,-26.2000,31.9333,673,Africa,SZ,SZ-LU,Simunye,FDSM,,
1053,FDNG,small_airport,Piggs Peak Airport,-25.7981,31.4125,410,Africa,SZ,SZ-HH,Ngonini,FDNG,,
1054,FDNS,small_airport,Nsoko Airport,-26.9872,31.9372,614,Africa,SZ,SZ-LU,Nsoko,FDNS,,
1055,FDNH,small_airport,Nhlangano Airport,-27.1195,31.2121,522,Africa,SZ,SZ-SH,Nhlangano,FDNH,,
1056,FDMH,small_airport,Mhlume Airport,-26.0242,31.8100,926,Africa,SZ,SZ-LU,Mhlume,FDMH,,
1057,SZ-0001,heliport,Mbabane Hospital Helipad,-26.3308,31.1439,865,Africa,SZ,SZ-HH,Mbabane,SZ-0001,,
1058,FDMS,medium_airport,Matsapha Airport,-26.5290,31.3075,75,Africa,SZ,SZ-MA,Manzini,FDMS,MTS,
1059,FDBM,small_airport,Matata Airport,-26.8670,31.9330,500,Africa,SZ,SZ-LU,Big Bend,FDBM,,
1060,FDGL,small_airport,Lavumisa Airport,-27.3201,31.8898,563,Africa,SZ,SZ-SH,Lavumisa,FDGL,,
1061,FDKB,small_airport,Kubuta Airport,-26.8815,31.4889,555,Africa,SZ,SZ-SH,Kubuta B,FDKB,,
1062,FDSK,large_airport,King Mswati III International Airport,-26.3586,31.7169,92,Africa,SZ,SZ-LU,Mpaka,FDSK,SHO,
1063,FDBS,small_airport,Big Bend Sugar E Airport,-26.8361,31.9200,541,Africa,SZ,SZ-LU,Big Bend,FDBS,,

