id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
4,HKJK,large_airport,Jomo Kenyatta International Airport,-1.3192,36.9275,5327,Africa,KE,KE-30,Nairobi,HKJK,NBO,
5,HKMO,large_airport,Moi International Airport,-4.0348,39.5942,200,Africa,KE,KE-28,Mombasa,HKMO,MBA,
6,HECA,large_airport,Cairo International Airport,30.1219,31.4056,382,Africa,EG,EG-C,Cairo,HECA,CAI,
7,HEGN,large_airport,Hurghada International Airport,27.1783,33.7994,52,Africa,EG,EG-BA,Hurghada,HEGN,HRG,
8,HESH,large_airport,Sharm El Sheikh International Airport,27.9772,34.394,143,Africa,EG,EG-JS,Sharm El Sheikh,HESH,SSH,
9,DNMM,large_airport,Murtala Muhammed International Airport,6.5774,3.3210,135,Africa,NG,NG-LA,Lagos,DNMM,LOS,
10,DNAA,large_airport,Nnamdi Azikiwe International Airport,9.0068,7.2632,1123,Africa,NG,NG-FC,Abuja,DNAA,ABV,
11,GMMN,large_airport,Mohammed V International Airport,33.3675,-7.5899,656,Africa,MA,MA-CAS,Casablanca,GMMN,CMN,
12,GMMX,large_airport,Marrakesh Menara Airport,31.6069,-8.0363,1535,Africa,MA,MA-MAR,Marrakesh,GMMX,RAK,
13,HAAB,large_airport,Addis Ababa Bole International Airport,8.9778,38.7993,7625,Africa,ET,ET-AA,Addis Ababa,HAAB,ADD,
14,DTTA,large_airport,Tunis Carthage International Airport,36.8510,10.2272,22,Africa,TN,TN-11,Tunis,DTTA,TUN,
15,DAAG,large_airport,Houari Boumediene Airport,36.6910,3.2154,82,Africa,DZ,DZ-16,Algiers,DAAG,ALG,
16,DGAA,large_airport,Kotoka International Airport,5.6052,-0.1668,205,Africa,GH,GH-AA,Accra,DGAA,ACC,
17,GOOY,large_airport,Blaise Diagne International Airport,14.6710,-17.0733,290,Africa,SN,SN-TH,Dakar,GOOY,DSS,
18,DIAP,large_airport,Félix-Houphouët-Boigny International Airport,5.2614,-3.9263,21,Africa,CI,CI-AB,Abidjan,DIAP,ABJ,
19,HRYR,large_airport,Kigali International Airport,-1.9686,30.1395,4891,Africa,RW,RW-01,Kigali,HRYR,KGL,
20,FLKK,large_airport,Kenneth Kaunda International Airport,-15.3308,28.4526,3779,Africa,ZM,ZM-09,Lusaka,FLKK,LUN,
21,FVHA,large_airport,Robert Gabriel Mugabe International Airport,-17.9218,31.0982,4887,Africa,ZW,ZW-HA,Harare,FVHA,HRE,
22,FQMA,large_airport,Maputo International Airport,-25.9208,32.5726,144,Africa,MZ,MZ-MPM,Maputo,FQMA,MPM,
23,FNLU,large_airport,Quatro de Fevereiro International Airport,-8.8584,13.2312,243,Africa,AO,AO-LUA,Luanda,FNLU,LAD,
24,FZZM,large_airport,N'djili International Airport,-4.3857,15.4446,1027,Africa,CD,CD-KN,Kinshasa,FZZM,FIH,
25,HTDA,large_airport,Julius Nyerere International Airport,-6.8781,39.2026,182,Africa,TZ,TZ-02,Dar es Salaam,HTDA,DAR,
26,HUEN,large_airport,Entebbe International Airport,0.0424,32.4435,3782,Africa,UG,UG-102,Entebbe,HUEN,EBB,
27,FIMP,large_airport,Sir Seewoosagur Ramgoolam International Airport,-20.4302,57.6836,186,Africa,MU,MU-GP,Port Louis,FIMP,MRU,
28,FSIA,large_airport,Seychelles International Airport,-4.6743,55.5218,10,Africa,SC,SC-08,Mahe,FSIA,SEZ,
29,FWKI,large_airport,Kamuzu International Airport,-13.7893,33.7809,4035,Africa,MW,MW-LI,Lilongwe,FWKI,LLW,
30,HSSS,large_airport,Khartoum International Airport,15.5895,32.5532,1265,Africa,SD,SD-KH,Khartoum,HSSS,KRT,
