id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
63,OMDB,large_airport,Dubai International Airport,25.2532,55.3657,62,Asia,AE,AE-DU,Dubai,OMDB,DXB,
64,OMAA,large_airport,Abu Dhabi International Airport,24.4330,54.6511,88,Asia,AE,AE-AZ,Abu Dhabi,OMAA,AUH,
65,RJTT,large_airport,Tokyo Haneda International Airport,35.5494,139.7798,35,Asia,JP,JP-13,Tokyo,RJTT,HND,
66,RJAA,large_airport,Narita International Airport,35.7647,140.3863,135,Asia,JP,JP-12,Tokyo,RJAA,NRT,
67,RJBB,large_airport,Kansai International Airport,34.4273,135.2441,15,Asia,JP,JP-27,Osaka,RJBB,KIX,
68,WSSS,large_airport,Singapore Changi Airport,1.3644,103.9915,22,Asia,SG,SG-01,Singapore,WSSS,SIN,
69,RKSI,large_airport,Incheon International Airport,37.4692,126.4505,23,Asia,KR,KR-28,Seoul,RKSI,ICN,
70,VHHH,large_airport,Hong Kong International Airport,22.3080,113.9185,28,Asia,HK,HK-HK,Hong Kong,VHHH,HKG,
71,ZSPD,large_airport,Shanghai Pudong International Airport,31.1434,121.8053,13,Asia,CN,CN-31,Shanghai,ZSPD,PVG,
72,ZBAA,large_airport,Beijing Capital International Airport,40.0801,116.5846,116,Asia,CN,CN-11,Beijing,ZBAA,PEK,
73,ZGGG,large_airport,Guangzhou Baiyun International Airport,23.3924,113.2988,50,Asia,CN,CN-44,Guangzhou,ZGGG,CAN,
74,ZUUU,large_airport,Chengdu Shuangliu International Airport,30.5785,103.9471,1625,Asia,CN,CN-51,Chengdu,ZUUU,CTU,
75,VTBS,large_airport,Suvarnabhumi Airport,13.6811,100.7473,5,Asia,TH,TH-10,Bangkok,VTBS,BKK,
76,VTBD,large_airport,Don Mueang International Airport,13.9126,100.6067,9,Asia,TH,TH-10,Bangkok,VTBD,DMK,
77,VIDP,large_airport,Indira Gandhi International Airport,28.5562,77.1000,777,Asia,IN,IN-DL,New Delhi,VIDP,DEL,
78,VABB,large_airport,Chhatrapati Shivaji Maharaj International Airport,19.0887,72.8679,39,Asia,IN,IN-MH,Mumbai,VABB,BOM,
