id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
600,HAJJ,medium_airport,Wilwal International Airport,9.3325,42.9121,1954,Africa,ET,Somali Region,Jijiga,HAJJ,JIJ,
601,HAWR,small_airport,Warder Airport,6.9724,45.3334,1850,Africa,ET,Somali Region,Warder,HAWR,WRA,
602,ET-0012,closed,Waca Airport [CLOSED],7.1670,37.1670,7200,Africa,ET,South West Ethiopia Peoples' Region,Waca,,,
603,HAMJ,small_airport,Tume Airport,5.8330,35.5330,3500,Africa,ET,South West Ethiopia Peoples' Region,Maji,HAMJ,,
604,TUJ,small_airport,Tum Airport,6.2600,35.5184,3700,Africa,ET,South West Ethiopia Peoples' Region,Tum,TUJ,TUJ,
605,HATP,small_airport,Tippi Airport,7.2024,35.4150,4100,Africa,ET,South West Ethiopia Peoples' Region,Tippi,HATP,TIE,
606,HASD,small_airport,Soddu Airport,6.8028,37.6862,6400,Africa,ET,Oromia Region,Soddu,HASD,SXU,
607,ET-SHC,small_airport,Shire Inda Selassie Airport,14.0757,38.2736,6207,Africa,ET,Tigray Region,Shire Inda Selassie,ET-SHC,SHC,
608,HASL,small_airport,Shilavo Airport,6.0775,44.7637,1296,Africa,ET,Somali Region,Shilavo,HASL,HIL,
609,HASH,small_airport,Sheikh Hussein Airport,7.7417,40.6956,4500,Africa,ET,Oromia Region,Sheikh Hussein,HASH,,
610,HASK,small_airport,Shakiso Airport,5.6923,38.9764,5815,Africa,ET,Oromia Region,Shakiso,HASK,SKR,
611,HASM,small_airport,Semera Airport,11.7875,40.9915,1390,Africa,ET,Afar Region,Semera,HASM,SZE,
612,HAGB,small_airport,Robe Airport,7.1190,40.0452,7892,Africa,ET,Oromia Region,Goba,HAGB,GOB,
613,ET-0008,small_airport,Omorate Airport,4.8006,36.1264,1243,Africa,ET,Southern Nations,Omorate,,,
614,ET-0001,closed,Old Jijiga Airport [CLOSED],9.3615,42.7887,5500,Africa,ET,Somali Region,Jijiga,,,
615,HANK,small_airport,Nekemte Airport,9.0343,36.6132,6500,Africa,ET,Oromia Region,Nekemte,HANK,NEK,
616,HANJ,small_airport,Nejjo Airport,9.5500,35.4670,6150,Africa,ET,Oromia Region,Nejo,HANJ,NEJ,
617,HANG,small_airport,Negele Airport,5.2897,39.7023,5230,Africa,ET,Oromia Region,Negele Borana,HANG,EGL,
618,HAMR,small_airport,Mui River Airport,5.8646,35.7485,1834,Africa,ET,South West Ethiopia Peoples' Region,Omo National Park,HAMR,MUJ,
619,MYS,small_airport,Moyale Airport,3.5623,39.0433,2887,Africa,ET,Oromia Region,Moyale,MYS,MYS,
620,HAMT,small_airport,Mizan Teferi Airport,6.9571,35.5547,4396,Africa,ET,South West Ethiopia Peoples' Region,Mizan Teferi,HAMT,MTF,
621,HAMM,small_airport,Metema Airport,12.9330,36.1670,2650,Africa,ET,Amhara Region,Metema,HAMM,ETE,
622,HAMN,small_airport,Mendi Airport,9.7670,35.1000,5500,Africa,ET,Oromia Region,Mendi,HAMN,NDM,
623,HAMA,small_airport,Mekane Selam Airport,10.7254,38.7415,8405,Africa,ET,Amhara Region,Mekane Selam,HAMA,MKS,
624,ET-0011,closed,Masslo Airport [CLOSED],6.4085,39.7224,4180,Africa,ET,Oromia Region,Masslo,,,
625,HAAL,small_airport,Lideta Army Airport,9.0037,38.7255,7749,Africa,ET,Addis Ababa,Addis Ababa,HAAL,,
626,HALL,small_airport,Lalibela Airport,11.9752,38.9802,6506,Africa,ET,Amhara Region,Girany Amba,HALL,LLI,
627,HADC,small_airport,Kombolcha Airport,11.1098,39.7259,6120,Africa,ET,Amhara Region,Dessie,HADC,DSE,
628,ET-0002,small_airport,Kibbish Wells Airport,5.2960,35.8682,1403,Africa,ET,Southern Nations,Kibbish Wells,,,
629,HAKL,small_airport,Kelafo East Airport,5.6570,44.3500,1730,Africa,ET,Somali Region,Kelafo,HAKL,LFO,
630,HAKD,medium_airport,Kebri Dahar Airport,6.7326,44.2413,1800,Africa,ET,Somali Region,Kebri Dahar,HAKD,ABK,
631,HAJK,small_airport,Jinka Airport,5.7495,36.5597,4475,Africa,ET,Southern Nations,Jinka,HAJK,BCO,
632,HAJM,medium_airport,Jimma Airport,7.6661,36.8166,5500,Africa,ET,Oromia Region,Jimma,HAJM,JIM,
633,HAHU,small_airport,Humera Airport,13.8301,36.8824,1930,Africa,ET,Tigray Region,Akwi,HAHU,HUE,
634,HALA,medium_airport,Hawassa International Airport,7.0999,38.3962,5450,Africa,ET,Sidama Region,Hawassa,HALA,AWA,
635,HAHM,medium_airport,Harar Meda Airport,8.7163,39.0059,6201,Africa,ET,Oromia Region,Debre Zeyit,HAHM,QHR,
636,HAGR,small_airport,Gore Airport,8.1614,35.5529,6580,Africa,ET,Oromia Region,Gore,HAGR,GOR,
637,HAGN,medium_airport,Gondar Airport,12.5199,37.4340,6449,Africa,ET,Amhara Region,Azezo,HAGN,GDQ,
638,HAGO,medium_airport,Gode Airport,5.9351,43.5786,1834,Africa,ET,Somali Region,Gode,HAGO,GDE,
639,HAGH,small_airport,Ghinnir Airport,7.1500,40.7170,6499,Africa,ET,Oromia Region,Ghinnir,HAGH,GNN,
640,ET-GLC,small_airport,Geladi Airport,6.9844,46.4214,1383,Africa,ET,Somali Region,Geladi,ET-GLC,GLC,
641,ET-0003,small_airport,Ganada Airport,5.3372,37.0230,,Africa,ET,Southern Nations,Ganada,,,
642,HAGM,medium_airport,Gambela Airport,8.1288,34.5631,1614,Africa,ET,Gambela Region,Gambela,HAGM,GMB,
643,HAFN,small_airport,Fincha Airport,9.5844,37.3779,7600,Africa,ET,Oromia Region,Fincha,HAFN,FNH,
644,ET-0007,small_airport,Dolo Airport,4.1749,42.0330,1630,Africa,ET,Somali Region,Dolo,,,
645,HADO,small_airport,Dodola Airport,7.0206,39.0511,8234,Africa,ET,Oromia Region,Dodola,HADO,,
646,HADD,small_airport,Dembidollo Airport,8.5540,34.8580,5200,Africa,ET,Oromia Region,Dembidollo,HADD,DEM,
647,ET-0013,closed,Degah Bur Airport [CLOSED],8.2340,43.5673,3550,Africa,ET,Somali Region,Degah Bur,,,
648,HADT,small_airport,Debre Tabor Airport,11.8848,38.0092,8490,Africa,ET,Amhara Region,Debre Tabor,HADT,DBT,
649,HADM,small_airport,Debre Markos Airport,10.3215,37.7419,8136,Africa,ET,Amhara Region,Debre Markos,HADM,DBM,
650,ET-0010,closed,Combolcha Airport [CLOSED],11.0825,39.7114,6117,Africa,ET,Amhara Region,Dessie,,,
651,ET-0014,closed,Buno Bedelle Airport [CLOSED],8.4476,36.3410,5560,Africa,ET,Oromia Region,Bedelle,,,
652,ET-0015,closed,Bulchi Airport [CLOSED],6.2883,36.8867,4500,Africa,ET,Southern Nations,Sawla,,,
653,HAPW,small_airport,Beles Airport,11.3126,36.4164,3695,Africa,ET,Benishangul-Gumuz Region,Pawe,HAPW,PWI,
654,HABE,small_airport,Beica Airport,9.3864,34.5219,5410,Africa,ET,Oromia Region,Beica,HABE,BEI,
655,ET-0006,small_airport,Bameza - Grand Ethiopian Renaissance Dam Airport,11.1269,35.0440,2047,Africa,ET,Benishangul-Gumuz Region,Bameza,,,
656,HABD,medium_airport,Bahir Dar Airport,11.6081,37.3216,5978,Africa,ET,Amhara Region,Bahir Dar,HABD,BJR,
657,HABC,small_airport,Baco Airport,5.7833,36.5500,4300,Africa,ET,Southern Nations,Baco,HABC,BCO,
658,HAAX,medium_airport,Axum Airport,14.1468,38.7728,6959,Africa,ET,Tigray Region,Axum,HAAX,AXU,
659,HASO,medium_airport,Asosa Airport,10.0185,34.5863,5100,Africa,ET,Benishangul-Gumuz Region,Asosa,HASO,ASO,
660,HAAM,medium_airport,Arba Minch Airport,6.0394,37.5905,3901,Africa,ET,Southern Nations,Arba Minch,HAAM,AMH,
661,HAMK,medium_airport,Alula Aba Nega Airport,13.4674,39.5335,7396,Africa,ET,Tigray Region,Mekele,HAMK,MQX,
662,ET-0005,heliport,African Union Heliport,8.9995,38.7425,7726,Africa,ET,Addis Ababa,Addis Ababa,,,
663,HAAB,large_airport,Addis Ababa Bole International Airport,8.9779,38.7993,7630,Africa,ET,Addis Ababa,Addis Ababa,HAAB,ADD,
664,HAAD,small_airport,Adaba Airport,7.0230,39.2732,7896,Africa,ET,Oromia Region,Adaba,HAAD,,
665,HADR,medium_airport,Aba Tenna Dejazmach Yilma International Airport,9.6247,41.8542,3827,Africa,ET,Dire Dawa,Dire Dawa,HADR,DIR,
666,ET-0004,small_airport,Unknown,7.0667,38.4903,5561,Africa,ET,Sidama Region,Awasa,,,
