id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
31,EGLL,large_airport,Heathrow Airport,51.4700,-0.4543,83,Europe,GB,GB-ENG,London,EGLL,LHR,
32,EGKK,large_airport,Gatwick Airport,51.1481,-0.1903,202,Europe,GB,GB-ENG,London,EGKK,LGW,
33,EGCC,large_airport,Manchester Airport,53.3537,-2.2749,257,Europe,GB,GB-ENG,Manchester,EGCC,MAN,
34,LFPG,large_airport,Charles de Gaulle International Airport,49.0097,2.5479,392,Europe,FR,FR-IDF,Paris,LFPG,CDG,
35,LFPO,large_airport,Paris-Orly Airport,48.7233,2.3794,291,Europe,FR,FR-IDF,Paris,LFPO,ORY,
36,LFMN,large_airport,Nice Côte d'Azur International Airport,43.6617,7.2167,12,Europe,FR,FR-PAC,Nice,LFMN,NCE,
37,EDDF,large_airport,Frankfurt am Main Airport,50.0379,8.5622,364,Europe,DE,DE-HE,Frankfurt,EDDF,FRA,
38,EDDM,large_airport,Munich Airport,48.3538,11.7861,1487,Europe,DE,DE-BY,Munich,EDDM,MUC,
39,EDDB,large_airport,Berlin Brandenburg Airport,52.3622,13.5007,157,Europe,DE,DE-BB,Berlin,EDDB,BER,
40,EHAM,large_airport,Amsterdam Airport Schiphol,52.3086,4.7639,-11,Europe,NL,NL-NH,Amsterdam,EHAM,AMS,
41,LEMD,large_airport,Adolfo Suárez Madrid–Barajas Airport,40.4719,-3.5626,1998,Europe,ES,ES-MD,Madrid,LEMD,MAD,
42,LEBL,large_airport,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.0785,14,Europe,ES,ES-CT,Barcelona,LEBL,BCN,
43,LIRF,large_airport,Leonardo da Vinci–Fiumicino Airport,41.8045,12.2508,13,Europe,IT,IT-62,Rome,LIRF,FCO,
44,LIMC,large_airport,Malpensa International Airport,45.6306,8.7281,767,Europe,IT,IT-25,Milan,LIMC,MXP,
45,LTFM,large_airport,Istanbul Airport,41.2753,28.7519,325,Europe,TR,TR-34,Istanbul,LTFM,IST,
46,LTFJ,large_airport,Sabiha Gökçen International Airport,40.8986,29.3092,312,Europe,TR,TR-34,Istanbul,LTFJ,SAW,
47,UUEE,large_airport,Sheremetyevo International Airport,55.9726,37.4146,622,Europe,RU,RU-MOS,Moscow,UUEE,SVO,
48,UUDD,large_airport,Domodedovo International Airport,55.4088,37.9063,588,Europe,RU,RU-MOS,Moscow,UUDD,DME,
49,LSZH,large_airport,Zürich Airport,47.4646,8.5492,1416,Europe,CH,CH-ZH,Zurich,LSZH,ZRH,
50,LSGG,large_airport,Geneva Cointrin International Airport,46.2381,6.1089,1411,Europe,CH,CH-GE,Geneva,LSGG,GVA,
51,LOWW,large_airport,Vienna International Airport,48.1103,16.5697,600,Europe,AT,AT-9,Vienna,LOWW,VIE,
52,EKCH,large_airport,Copenhagen Kastrup Airport,55.6179,12.6560,17,Europe,DK,DK-84,Copenhagen,EKCH,CPH,
53,ENGM,large_airport,Oslo Gardermoen Airport,60.1939,11.1004,681,Europe,NO,NO-02,Oslo,ENGM,OSL,
54,ESSA,large_airport,Stockholm-Arlanda Airport,59.6519,17.9186,137,Europe,SE,SE-AB,Stockholm,ESSA,ARN,
55,EFHK,large_airport,Helsinki Vantaa Airport,60.3172,24.9633,179,Europe,FI,FI-18,Helsinki,EFHK,HEL,
56,EIDW,large_airport,Dublin Airport,53.4213,-6.2701,242,Europe,IE,IE-L,Dublin,EIDW,DUB,
57,LPPT,large_airport,Humberto Delgado Airport,38.7742,-9.1342,374,Europe,PT,PT-11,Lisbon,LPPT,LIS,
58,LGAV,large_airport,Eleftherios Venizelos International Airport,37.9364,23.9445,308,Europe,GR,GR-I,Athens,LGAV,ATH,
