id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,address
300,FADQ,small_airport,Zulu Inyala Airport,-27.8494,32.3097,160,Africa,ZA,Kwazulu-Natal,Phinda,FADQ,PZL,,
301,ZA-0266,small_airport,Zilverstroom Farm Airport,-29.5561,22.8968,130,Africa,ZA,Northern Cape,Prieska,ZA-0266,,
302,ZA-0220,small_airport,Zilkaats Airstrip,-25.6584,27.8825,980,Africa,ZA,North-West,Brits,ZA-0220,,
303,FAZR,small_airport,Zeerust Airport,-25.5990,26.0423,258,Africa,ZA,North-West,Zeerust,FAZR,,
304,ZA-0114,small_airport,Zebula Airstrip,-24.7567,27.9691,209,Africa,ZA,Limpopo,Bela-Bela,ZA-0114,,
305,ZA-0334,Unknown,Zastron Airport [CLOSED],-30.3062,27.1069,265,Africa,ZA,Free State,Zastron,ZA-0334,,
306,FAYP,medium_airport,Ysterplaat Air Force Base,-33.9002,18.4983,52,Africa,ZA,Western Cape,Cape Town,FAYP,,
307,FAWC,small_airport,Worcester Glider Airport,-33.6631,19.4153,673,Africa,ZA,Western Cape,Worcester,FAWC,,
308,FAWB,medium_airport,Wonderboom Airport,-25.6539,28.2242,95,Africa,ZA,Gauteng,Pretoria,FAWB,PRY,
309,FAWD,small_airport,Wolmeransstad Airport,-27.1700,25.9800,513,Africa,ZA,North-West,Wolmeransstad,FAWD,,
310,ZA-0276,small_airport,Witfontein Airport,-29.2769,23.9052,520,Africa,ZA,Northern Cape,Salt Lake,ZA-0276,,
311,FATW,small_airport,Witberg Tswalu Airport,-27.2050,22.4819,921,Africa,ZA,Northern Cape,Tswalo Game Reserve,FATW,,
312,FAWI,small_airport,Witbank Airport,-25.8323,29.1920,78,Africa,ZA,Mpumalanga,Witbank,FAWI,,
313,FAWT,small_airport,Winterveldt Mine Airport,-24.6601,30.1804,0,Africa,ZA,Limpopo,Doornbosch,FAWT,,
314,ZA-0182,small_airport,Wings Park Airfield,-32.8248,27.8357,0,Africa,ZA,Eastern Cape,East London,ZA-0182,,
315,ZA-0194,Unknown,Wingfield Air Base [CLOSED],-33.9070,18.5304,0,Africa,ZA,Western Cape,Cape Town,ZA-0194,,
316,FAWO,small_airport,Willowmore Airport,-33.2633,23.4906,608,Africa,ZA,Eastern Cape,Willowmore,FAWO,,
317,FAWL,small_airport,Williston Airport,-31.3836,20.9328,484,Africa,ZA,Northern Cape,Williston,FAWL,,
318,ZA-0347,small_airport,Wild Rivers Airfield,-24.2745,30.8896,637,Africa,ZA,Limpopo,Hoedspruit,ZA-0347,,
319,FAWV,small_airport,White River Mercy Air,-25.3197,30.9708,932,Africa,ZA,Free State,White River,FAWV,,
320,ZA-0180,small_airport,Whats Landing Airport,-32.9019,28.0491,0,Africa,ZA,Eastern Cape,Kwelega,ZA-0180,,
321,ZA-0290,heliport,West Vaal Hospital Heliport,-26.9646,26.6736,314,Africa,ZA,North-West,Orkney,ZA-0290,,
322,FAWS,small_airport,Wesselbronn Af Airport,-27.8467,26.3506,301,Africa,ZA,Free State,Wesselsbron,FAWS,,
323,FAWP,Unknown,Wepener Airport [CLOSED],-29.7418,27.0233,755,Africa,ZA,Free State,Wepener,FAWP,,
324,ZA-0175,heliport,Wentworth Hospital Helipad,-29.9329,30.9891,0,Africa,ZA,Kwazulu-Natal,Bluff,ZA-0175,,
325,FAWM,small_airport,Welkom Airport,-27.9968,26.6633,421,Africa,ZA,Free State,Welkom,FAWM,WEL,
326,ZA-0232,small_airport,Welgevonden Western Airstrip,-24.2861,27.7867,400,Africa,ZA,Limpopo,Welgevonden Game Reserve,ZA-0232,,
