id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,address
380,ZA-0139,small_airport,Tosca Airport,-25.8757,23.9629,0,Africa,ZA,North-West,Tosca,ZA-0139,,,
381,FATF,small_airport,Tommys Field Airport,-28.2600,22.9932,360,Africa,ZA,Northern Cape,Beeshoek,FATF,,,
382,FATB,small_airport,Thorny Bush Game Lodge Airport,-24.4161,31.1642,900,Africa,ZA,Mpumalanga,Hoedspruit,FATB,,,
383,FATH,small_airport,Thohoyandou Airport,-23.0769,30.3836,21,Africa,ZA,Limpopo,Thohoyandou,FATH,THY,,
384,ZA-0179,small_airport,The Haven Airstrip,-32.2426,28.9101,0,Africa,ZA,Eastern Cape,Mbhashe,ZA-0179,,,
385,FAGA,small_airport,The Grange Airport,-30.2670,29.9670,600,Africa,ZA,Kwazulu-Natal,Umzimkulu,FAGA,,,
386,FATI,small_airport,Thabazimbi Airport,-24.5761,27.4197,225,Africa,ZA,Limpopo,Thabazimbi,FATI,,,
387,FATG,small_airport,Thaba Tholo Airport,-24.2811,27.2294,200,Africa,ZA,Limpopo,Thabazimbi,FATG,,,
388,FATN,small_airport,Thaba Nchu Tar Airport,-29.3178,26.8228,941,Africa,ZA,Free State,Homeward,FATN,TCU,,
389,FATA,small_airport,Tedderfield Air Park,-26.3520,27.9682,198,Africa,ZA,Gauteng,Tedderfield,FATA,,,
390,ZA-0218,small_airport,Tankwa International Airport,-32.3341,19.7535,36,Africa,ZA,Northern Cape,Tankwa Town,ZA-0218,,,
391,ZA-0072,small_airport,Tanda Tula Airport,-24.5255,31.2897,555,Africa,ZA,Mpumalanga,Timbavati,ZA-0072,TDT,,
392,ZA-0080,small_airport,Swartwater Highway Strip Airport,-22.8395,28.2097,800,Africa,ZA,Limpopo,Swartwater,ZA-0080,,,
393,FASK,medium_airport,Swartkop Air Force Base,-25.8097,28.1646,780,Africa,ZA,Gauteng,Pretoria,FASK,,,
394,FASL,small_airport,Sutherland Airport,-32.4882,20.6971,247,Africa,ZA,Northern Cape,Sutherland,FASL,,,
395,ZA-0113,small_airport,Sunset Shores Airfield,-26.8512,28.1984,955,Africa,ZA,Gauteng,Sunset Shores,ZA-0113,,,
